Time,Datetime,Frequency,Magnitude
212,2020-05-05 06:34:22,12.4,0.846
213,2020-05-05 06:34:40,12.0,0.75
214,2020-05-05 06:34:42,15.0,0.86
215,2020-05-05 06:34:44,10.5,0.648
216,2020-05-05 06:34:46,7.333,0.635
217,2020-05-05 06:34:56,4.5,0.52
218,2020-05-05 06:35:04,1.0,0.653
219,2020-05-05 06:35:14,8.0,0.549
220,2020-05-05 06:35:44,19.8,0.995
221,2020-05-05 06:35:46,11.667,0.731
222,2020-05-05 06:35:48,10.0,0.544
223,2020-05-05 06:35:50,14.333,0.811
224,2020-05-05 06:35:56,13.0,0.985
225,2020-05-05 06:35:58,11.0,1.028
226,2020-05-05 06:36:00,15.5,0.943
227,2020-05-05 06:36:18,8.167,0.709
228,2020-05-05 06:36:20,16.6,1.013
229,2020-05-05 06:36:22,10.5,0.708
230,2020-05-05 06:36:24,14.333,0.919
231,2020-05-05 06:36:38,13.4,1.026
232,2020-05-05 06:36:40,10.0,0.661
233,2020-05-05 06:36:44,12.714,0.812
234,2020-05-05 06:37:06,4.0,0.525
235,2020-05-05 06:37:20,11.909,0.823
236,2020-05-05 06:37:22,11.0,1.166
237,2020-05-05 06:37:24,11.5,0.55
238,2020-05-05 06:37:26,13.0,0.754
239,2020-05-05 06:37:36,16.364,0.933
240,2020-05-05 06:37:38,11.5,0.86
241,2020-05-05 06:37:40,7.333,0.781
242,2020-05-05 06:37:42,7.714,0.609
243,2020-05-05 06:38:10,12.909,0.876
244,2020-05-05 06:38:12,10.5,0.999
245,2020-05-05 06:38:14,15.4,0.877
246,2020-05-05 06:38:20,13.625,0.851
247,2020-05-05 06:38:22,10.0,0.876
248,2020-05-05 06:38:26,11.833,0.873
249,2020-05-05 06:40:04,13.0,0.808
250,2020-05-05 06:40:08,2.0,0.524
251,2020-05-05 06:40:16,1.5,1.235
252,2020-05-05 06:40:20,13.0,0.917
253,2020-05-05 06:40:22,12.375,0.714
254,2020-05-05 06:40:24,10.0,0.529
255,2020-05-05 06:40:26,14.2,0.871
256,2020-05-05 06:40:30,14.167,1.203
257,2020-05-05 06:40:32,11.8,0.784
258,2020-05-05 06:40:34,9.0,0.671
259,2020-05-05 06:40:36,7.0,0.557
260,2020-05-05 06:40:44,7.143,0.663
261,2020-05-05 06:40:46,15.0,0.889
262,2020-05-05 06:41:04,1.0,0.69
263,2020-05-05 06:41:24,10.684,0.763
264,2020-05-05 06:41:36,6.5,0.64
265,2020-05-05 06:41:42,2.0,0.552
266,2020-05-05 06:41:44,5.0,0.512
267,2020-05-05 06:42:10,21.714,1.005
268,2020-05-05 06:42:12,14.25,0.864
269,2020-05-05 06:42:14,10.0,0.532
270,2020-05-05 06:42:16,12.556,0.695
271,2020-05-05 06:42:32,15.0,0.951
272,2020-05-05 06:42:34,9.667,0.608
273,2020-05-05 06:42:38,14.75,0.81
274,2020-05-05 06:42:40,3.0,0.68
275,2020-05-05 06:42:42,2.5,0.59
276,2020-05-05 06:43:12,11.4,0.813
277,2020-05-05 06:43:14,14.333,0.883
278,2020-05-05 06:43:16,15.167,0.851
279,2020-05-05 06:43:20,14.333,0.998
280,2020-05-05 06:43:22,16.833,0.907
281,2020-05-05 06:43:24,10.0,0.637
282,2020-05-05 06:43:26,10.0,0.509
283,2020-05-05 06:43:28,10.444,0.792
284,2020-05-05 06:44:12,13.214,0.848
285,2020-05-05 06:44:14,11.0,1.135
286,2020-05-05 06:44:16,17.25,0.742
287,2020-05-05 06:44:20,16.083,0.75
288,2020-05-05 06:44:28,16.667,0.802
289,2020-05-05 06:44:30,17.25,0.834
290,2020-05-05 06:44:32,7.5,0.671
291,2020-05-05 06:44:34,10.0,0.657
292,2020-05-05 06:44:36,11.667,0.748
293,2020-05-05 06:45:20,15.333,0.812
294,2020-05-05 06:45:22,12.6,0.752
295,2020-05-05 06:45:24,9.5,0.624
296,2020-05-05 06:45:26,13.5,0.721
297,2020-05-05 06:45:38,15.375,1.011
298,2020-05-05 06:45:44,8.5,0.642
299,2020-05-05 06:45:50,1.0,0.608
300,2020-05-05 06:45:52,12.571,0.603
301,2020-05-05 06:45:56,1.0,0.598
302,2020-05-05 06:45:58,11.429,0.662
303,2020-05-05 06:46:44,3.0,0.505
304,2020-05-05 06:47:56,2.0,0.763
305,2020-05-05 06:48:22,15.75,0.858
306,2020-05-05 06:48:24,11.5,0.85
307,2020-05-05 06:48:26,14.2,0.818
308,2020-05-05 06:48:40,12.727,0.905
309,2020-05-05 06:48:42,10.5,0.705
310,2020-05-05 06:48:44,12.714,0.841
311,2020-05-05 06:49:22,11.429,0.827
312,2020-05-05 06:49:24,1.0,0.522
313,2020-05-05 06:49:26,14.0,0.64
314,2020-05-05 06:50:02,16.0,0.983
315,2020-05-05 06:50:04,10.0,0.892
316,2020-05-05 06:50:06,10.333,0.694
317,2020-05-05 06:50:34,13.2,0.872
318,2020-05-05 06:50:36,15.0,0.816
319,2020-05-05 06:50:38,6.0,0.734
320,2020-05-05 06:50:40,12.667,0.557
321,2020-05-05 06:50:42,10.857,0.8
322,2020-05-05 06:51:36,17.8,0.968
323,2020-05-05 06:51:38,16.889,0.817
324,2020-05-05 06:51:40,10.5,0.712
325,2020-05-05 06:51:42,9.4,0.701
326,2020-05-05 06:51:48,11.75,0.946
327,2020-05-05 06:51:50,15.909,0.709
328,2020-05-05 06:51:52,9.0,0.513
329,2020-05-05 06:51:54,8.4,0.691
330,2020-05-05 06:51:56,14.556,0.828
331,2020-05-05 06:52:34,1.5,0.713
332,2020-05-05 06:52:36,19.4,0.991
