Time,Datetime,Frequency,Magnitude
505,2020-05-05 07:33:32,13.5,0.82
506,2020-05-05 07:33:34,12.0,0.543
507,2020-05-05 07:33:40,14.0,0.781
508,2020-05-05 07:33:42,16.429,0.885
509,2020-05-05 07:33:44,15.429,0.94
510,2020-05-05 07:34:14,16.2,1.238
511,2020-05-05 07:34:16,13.8,0.57
512,2020-05-05 07:34:18,12.5,0.793
513,2020-05-05 07:34:22,16.25,1.189
514,2020-05-05 07:34:24,12.5,0.651
515,2020-05-05 07:34:54,15.833,1.389
516,2020-05-05 07:34:56,17.6,0.861
517,2020-05-05 07:35:02,17.667,1.431
518,2020-05-05 07:35:04,13.625,0.695
519,2020-05-05 07:35:48,17.333,1.096
520,2020-05-05 07:35:50,13.714,0.649
521,2020-05-05 07:35:54,11.0,0.908
522,2020-05-05 07:35:56,16.667,0.859
523,2020-05-05 07:35:58,13.333,0.864
524,2020-05-05 07:36:32,16.4,1.215
525,2020-05-05 07:36:34,11.5,0.733
526,2020-05-05 07:36:36,15.0,1.132
527,2020-05-05 07:36:40,18.0,1.547
528,2020-05-05 07:36:42,18.0,1.037
529,2020-05-05 07:36:44,17.857,0.851
530,2020-05-05 07:36:46,15.0,1.143
531,2020-05-05 07:37:30,13.143,1.1
532,2020-05-05 07:37:32,16.6,0.717
533,2020-05-05 07:37:42,18.0,1.338
534,2020-05-05 07:37:44,12.5,0.773
535,2020-05-05 07:37:46,8.667,0.691
536,2020-05-05 07:38:10,13.5,0.646
537,2020-05-05 07:38:12,14.286,1.402
538,2020-05-05 07:38:14,10.0,0.58
539,2020-05-05 07:38:18,15.0,0.878
540,2020-05-05 07:39:42,14.143,1.094
541,2020-05-05 07:39:44,18.333,0.646
542,2020-05-05 07:39:48,17.333,0.745
543,2020-05-05 07:39:52,14.0,0.834
544,2020-05-05 07:39:54,17.0,0.991
545,2020-05-05 07:39:56,16.5,0.532
546,2020-05-05 07:40:00,17.5,0.703
547,2020-05-05 07:40:02,14.333,0.787
548,2020-05-05 07:40:20,11.8,1.064
549,2020-05-05 07:40:22,14.0,1.258
550,2020-05-05 07:40:26,13.875,0.762
551,2020-05-05 07:40:32,14.5,0.908
552,2020-05-05 07:40:36,15.0,0.597
553,2020-05-05 07:42:04,14.5,1.602
554,2020-05-05 07:42:06,15.667,0.8
555,2020-05-05 07:42:10,15.5,0.82
556,2020-05-05 07:42:16,14.0,1.431
557,2020-05-05 07:42:18,18.857,0.833
558,2020-05-05 07:42:20,17.833,0.836
559,2020-05-05 07:42:24,14.0,0.85
560,2020-05-05 07:42:26,8.5,0.686
561,2020-05-05 07:42:58,13.286,0.993
562,2020-05-05 07:43:02,12.667,0.773
563,2020-05-05 07:43:50,13.5,1.461
564,2020-05-05 07:43:52,15.0,0.742
565,2020-05-05 07:43:56,12.0,0.571
566,2020-05-05 07:45:20,14.5,0.664
567,2020-05-05 07:45:22,13.833,1.341
568,2020-05-05 07:45:24,17.5,0.564
569,2020-05-05 07:45:30,15.833,0.746
570,2020-05-05 07:45:48,11.5,1.099
571,2020-05-05 07:45:50,18.333,0.622
572,2020-05-05 07:45:56,11.5,0.698
573,2020-05-05 07:45:58,13.667,0.572
574,2020-05-05 07:46:00,14.0,0.587
575,2020-05-05 07:46:02,15.0,0.803
576,2020-05-05 07:46:04,15.5,0.801
577,2020-05-05 07:46:08,17.154,1.195
578,2020-05-05 07:46:10,15.25,0.68
579,2020-05-05 07:46:14,18.0,1.114
580,2020-05-05 07:46:16,10.0,0.571
581,2020-05-05 07:46:56,13.0,0.867
582,2020-05-05 07:46:58,13.75,0.655
583,2020-05-05 07:47:04,1.0,0.659
584,2020-05-05 07:47:14,16.111,1.2
585,2020-05-05 07:47:16,12.0,0.813
586,2020-05-05 07:47:20,14.0,0.724
587,2020-05-05 07:47:44,15.444,0.944
588,2020-05-05 07:47:46,17.5,0.661
589,2020-05-05 07:47:52,11.5,0.559
590,2020-05-05 07:48:30,13.5,1.143
591,2020-05-05 07:48:32,1.0,0.511
